region,iso31662,area
http://www.wikidata.org/entity/Q104746,SE-G,8423.28
http://www.wikidata.org/entity/Q104746,SE-07,8423.28
http://www.wikidata.org/entity/Q104746,SE-G,8466
http://www.wikidata.org/entity/Q104746,SE-07,8466
http://www.wikidata.org/entity/Q104746,SE-G,961.83
http://www.wikidata.org/entity/Q104746,SE-07,961.83
http://www.wikidata.org/entity/Q104746,SE-G,9385.11
http://www.wikidata.org/entity/Q104746,SE-07,9385.11
http://www.wikidata.org/entity/Q1047875,LR-RG,5113
http://www.wikidata.org/entity/Q1047895,LR-GB,7936
http://www.wikidata.org/entity/Q1047921,LR-CM,5162
http://www.wikidata.org/entity/Q1048139,RS-09,2474
http://www.wikidata.org/entity/Q1048184,RS-21,2231
http://www.wikidata.org/entity/Q104877,SE-AC,55186.2
http://www.wikidata.org/entity/Q104877,SE-24,55186.2
http://www.wikidata.org/entity/Q104877,SE-AC,54664.39
http://www.wikidata.org/entity/Q104877,SE-24,54664.39
http://www.wikidata.org/entity/Q104877,SE-AC,66823
http://www.wikidata.org/entity/Q104877,SE-24,66823
http://www.wikidata.org/entity/Q104877,SE-AC,12158.61
http://www.wikidata.org/entity/Q104877,SE-24,12158.61
http://www.wikidata.org/entity/Q104891,SE-22,21683.8
http://www.wikidata.org/entity/Q104891,SE-Y,21683.8
http://www.wikidata.org/entity/Q104891,SE-22,27994.31
http://www.wikidata.org/entity/Q104891,SE-Y,27994.31
http://www.wikidata.org/entity/Q104891,SE-22,21548.5
http://www.wikidata.org/entity/Q104891,SE-Y,21548.5
http://www.wikidata.org/entity/Q104891,SE-22,6445.81
http://www.wikidata.org/entity/Q104891,SE-Y,6445.81
http://www.wikidata.org/entity/Q104926,SE-C,8189.27
http://www.wikidata.org/entity/Q104926,SE-03,8189.27
http://www.wikidata.org/entity/Q104926,SE-C,3984.3
http://www.wikidata.org/entity/Q104926,SE-03,3984.3
http://www.wikidata.org/entity/Q104926,SE-C,11940.28
http://www.wikidata.org/entity/Q104926,SE-03,11940.28
http://www.wikidata.org/entity/Q104926,SE-C,3750.72
http://www.wikidata.org/entity/Q104926,SE-03,3750.72
http://www.wikidata.org/entity/Q104926,SE-C,12173.57
http://www.wikidata.org/entity/Q104926,SE-03,12173.57
http://www.wikidata.org/entity/Q104940,SE-05,10557.43
http://www.wikidata.org/entity/Q104940,SE-E,14578.54
http://www.wikidata.org/entity/Q104940,SE-05,14578.54
http://www.wikidata.org/entity/Q104940,SE-E,10557.43
http://www.wikidata.org/entity/Q104940,SE-E,10602
http://www.wikidata.org/entity/Q104940,SE-05,10602
http://www.wikidata.org/entity/Q104940,SE-E,4021.11
http://www.wikidata.org/entity/Q104940,SE-05,4021.11
http://www.wikidata.org/entity/Q1049680,GB-CSR,85
http://www.wikidata.org/entity/Q1049867,LC-02,79
http://www.wikidata.org/entity/Q1050154,BS-CI,389
http://www.wikidata.org/entity/Q1050497,SL-E,15553
http://www.wikidata.org/entity/Q105075,SE-U,5658.82
http://www.wikidata.org/entity/Q105075,SE-19,5658.82
http://www.wikidata.org/entity/Q105075,SE-U,5145.8
http://www.wikidata.org/entity/Q105075,SE-19,5145.8
http://www.wikidata.org/entity/Q105075,SE-U,541.53
http://www.wikidata.org/entity/Q105075,SE-19,541.53
http://www.wikidata.org/entity/Q105075,SE-U,5117.29
http://www.wikidata.org/entity/Q105075,SE-19,5117.29
http://www.wikidata.org/entity/Q1051475,SB-RB,671
http://www.wikidata.org/entity/Q1051505,MW-NB,4071
http://www.wikidata.org/entity/Q1051692,ST-03,267
http://www.wikidata.org/entity/Q1052737,LR-MG,2616
http://www.wikidata.org/entity/Q1053302,NE-2,156906
http://www.wikidata.org/entity/Q1053565,MU-RR,147.6
http://www.wikidata.org/entity/Q1053595,MU-PW,203.3
http://www.wikidata.org/entity/Q1053600,MU-SA,244.8
http://www.wikidata.org/entity/Q1053723,GB-CBF,715.6654
http://www.wikidata.org/entity/Q1057124,LK-7,10472
