"population","population_year","City.Location","lat","lng"
3774638,2021,"POINT (28.3462 -26.1777)","-26.1777","28.3462"
NA,NA,NA,NA,NA
94847,2020,"POINT (17.8409 59.2459)","59.2459","17.8409"
312722,2015,"POINT (8.46603 49.4875)","49.4875","8.46603"
43559,2018,"POINT (-70.8967 42.5195)","42.5195","-70.8967"
465000,2018,NA,NA,NA
503443,2021,"POINT (-94.573 39.1429)","39.1429","-94.573"
326196,2019,"POINT (-105.5 40.15)","40.15","-105.5"
450,2019,NA,NA,NA
560513,2019,NA,NA,NA
NA,NA,NA,NA,NA
3163104,2020,NA,NA,NA
3987578,2019,"POINT (31.0218 -29.8587)","-29.8587","31.0218"
125941,2020,NA,NA,NA
196300,2020,"POINT (41.7606 88.3201)","88.3201","41.7606"
495000,2010,"POINT (-48.5482 -27.595)","-27.595","-48.5482"
434742,2017,"POINT (-46.3289 -23.9679)","-23.9679","-46.3289"
872497,2021,"POINT (4.89516 52.3702)","52.3702","4.89516"
24000,2017,"POINT (-84.1503 10.0035)","10.0035","-84.1503"
259182,2018,NA,NA,NA
78480,2018,NA,NA,NA
811275,2021,"POINT (120.47 22.6558)","22.6558","120.47"
13000000,2021,"POINT (77.5946 12.9716)","12.9716","77.5946"
796670,2018,NA,NA,NA
133262,2021,"POINT (-21.8174 64.1265)","64.1265","-21.8174"
1680600,2020,NA,NA,NA
NA,NA,NA,NA,NA
1108000,2020,"POINT (100.383 5.38333)","5.38333","100.383"
71601,2017,"POINT (23.04 -34.01)","-34.01","23.04"
872497,2021,"POINT (4.89516 52.3702)","52.3702","4.89516"
387309,2020,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
185937,2011,"POINT (19.2594 42.4304)","42.4304","19.2594"
1080507,2021,NA,NA,NA
417000,2020,"POINT (-81.2497 42.9837)","42.9837","-81.2497"
228848,2018,NA,NA,NA
544851,2021,"POINT (-9.13933 38.7223)","38.7223","-9.13933"
69088,2018,NA,NA,NA
65333,2017,"POINT (-77.0273 -12.0977)","-12.0977","-77.0273"
145358,2020,NA,NA,NA
812855,2019,"POINT (-122.682 45.52)","45.52","-122.682"
255,2020,"POINT (26.5536 38.3434)","38.3434","26.5536"
244969,2020,"POINT (18.5305 54.5189)","54.5189","18.5305"
65977,2020,NA,NA,NA
255324,2018,NA,NA,NA
69000,2020,NA,NA,NA
24000,2017,"POINT (-84.1503 10.0035)","10.0035","-84.1503"
1175501,2020,"POINT (-46.9372 -22.744)","-22.744","-46.9372"
82094,2016,NA,NA,NA
1200000,2019,"POINT (-13.2317 8.4657)","8.4657","-13.2317"
647000,2017,NA,NA,NA
12205,2019,NA,NA,NA
407319,2019,"POINT (-40.3776 -20.3338)","-20.3338","-40.3776"
42174,2019,NA,NA,NA
20003,2019,NA,NA,NA
258054,2018,"POINT (-89.3818 43.0728)","43.0728","-89.3818"
885708,2019,"POINT (-80.8431 35.2271)","35.2271","-80.8431"
NA,NA,NA,NA,NA
42284,2015,"POINT (-73.2121 44.4759)","44.4759","-73.2121"
74003,2016,"POINT (-122.75 53.9171)","53.9171","-122.75"
2511700,2019,NA,NA,NA
101516,2019,NA,NA,NA
3774638,2021,"POINT (28.3462 -26.1777)","-26.1777","28.3462"
99225,2020,NA,NA,NA
302014,2020,NA,NA,NA
651073,2019,"POINT (-90.049 35.1495)","35.1495","-90.049"
463400,2019,NA,NA,NA
3769000,2020,"POINT (13.405 52.52)","52.52","13.405"
1653461,2020,"POINT (-34.8829 -8.05783)","-8.05783","-34.8829"
209403,2019,NA,NA,NA
NA,NA,NA,NA,NA
579000,2019,"POINT (-79.8661 43.25)","43.25","-79.8661"
78495,2020,"POINT (-80.216 26.4986)","26.4986","-80.216"
NA,NA,NA,NA,NA
62709,2019,"POINT (12.5921 56.0308)","56.0308","12.5921"
506811,2019,"POINT (-84.388 33.749)","33.749","-84.388"
241590,2020,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
6624,2020,NA,NA,NA
1392502,2020,"POINT (9.08635 45.8026)","45.8026","9.08635"
207595,2021,"POINT (10.395 63.4305)","63.4305","10.395"
23943,2016,NA,NA,NA
233763,2018,"POINT (-83.0364 42.3149)","42.3149","-83.0364"
579000,2019,"POINT (-79.8661 43.25)","43.25","-79.8661"
765352,2016,"POINT (-85.6784 38.196)","38.196","-85.6784"
24382,2019,NA,NA,NA
53684,2020,"POINT (147.281 -42.8901)","-42.8901","147.281"
198348,2020,"POINT (10.3279 44.8015)","44.8015","10.3279"
NA,NA,NA,NA,NA
228848,2018,NA,NA,NA
484836,2020,NA,NA,NA
569913,2020,NA,NA,NA
24668,2018,NA,NA,NA
1014837,2010,"POINT (-38.057 -6.5344)","-6.5344","-38.057"
11365,2010,NA,NA,NA
505585,2010,"POINT (-79.0048 -2.90841)","-2.90841","-79.0048"
174708,2020,NA,NA,NA
NA,NA,NA,NA,NA
31000,2017,"POINT (34.344 31.3231)","31.3231","34.344"
187603,2019,"POINT (-83.9207 35.9606)","35.9606","-83.9207"
149280,2020,NA,NA,NA
NA,NA,NA,NA,NA
527620,2020,NA,NA,NA
67611,2021,NA,NA,NA
98302,2020,NA,NA,NA
NA,NA,NA,NA,NA
1476491,2020,NA,NA,NA
55269,2020,NA,NA,NA
1790000,2018,"POINT (101.687 3.139)","3.139","101.687"
723515,2010,"POINT (-34.8639 -7.16882)","-7.16882","-34.8639"
22885,2018,NA,NA,NA
