"actor_id","emissions_id","year","total_emissions","datasource_id"
"BR SME","CDPCitiesTargets:2021:base:BR SME",2016,4790365.61,"CDPCitiesTargets:2021"
"BR SME","CDPCitiesTargets:2021:target:BR SME",2030,4464620.74852,"CDPCitiesTargets:2021"
"CR BLN","CDPCitiesTargets:2021:base:CR BLN",2017,167.22,"CDPCitiesTargets:2021"
"CR BLN","CDPCitiesTargets:2021:target:CR BLN",2021,165.5478,"CDPCitiesTargets:2021"
"ES VIT","CDPCitiesTargets:2021:base:ES VIT",2006,243971,"CDPCitiesTargets:2021"
"ES VIT","CDPCitiesTargets:2021:target:ES VIT",2020,161020.86,"CDPCitiesTargets:2021"
"SE VTA","CDPCitiesTargets:2021:base:SE VTA",1990,1979524,"CDPCitiesTargets:2021"
"SE VTA","CDPCitiesTargets:2021:target:SE VTA",2050,0,"CDPCitiesTargets:2021"
"JP KWE","CDPCitiesTargets:2021:base:JP KWE",2013,2227000,"CDPCitiesTargets:2021"
"JP KWE","CDPCitiesTargets:2021:target:JP KWE",2030,1647980,"CDPCitiesTargets:2021"
"SE VTA","CDPCitiesTargets:2021:base:SE VTA",2005,18176.98,"CDPCitiesTargets:2021"
"SE VTA","CDPCitiesTargets:2021:target:SE VTA",2020,18109.44,"CDPCitiesTargets:2021"
"JP KIY","CDPCitiesTargets:2021:base:JP KIY",2013,3521100,"CDPCitiesTargets:2021"
"JP KIY","CDPCitiesTargets:2021:target:JP KIY",2050,0,"CDPCitiesTargets:2021"
"PE SDR","CDPCitiesTargets:2021:base:PE SDR",2017,158550,"CDPCitiesTargets:2021"
"PE SDR","CDPCitiesTargets:2021:target:PE SDR",2050,1585.5,"CDPCitiesTargets:2021"
"CO ENV","CDPCitiesTargets:2021:base:CO ENV",2018,17133,"CDPCitiesTargets:2021"
"CO ENV","CDPCitiesTargets:2021:BAU:CO ENV",2050,39023,"CDPCitiesTargets:2021"
"CO ENV","CDPCitiesTargets:2021:base:CO ENV",2018,170020,"CDPCitiesTargets:2021"
"CO ENV","CDPCitiesTargets:2021:BAU:CO ENV",2050,321162,"CDPCitiesTargets:2021"
"BR REC","CDPCitiesTargets:2021:target:BR REC",2050,0,"CDPCitiesTargets:2021"
"PT BGZ","CDPCitiesTargets:2021:base:PT BGZ",2014,1437269,"CDPCitiesTargets:2021"
"PT BGZ","CDPCitiesTargets:2021:target:PT BGZ",2050,0,"CDPCitiesTargets:2021"
"ZA JNB","CDPCitiesTargets:2021:base:ZA JNB",2016,20913958,"CDPCitiesTargets:2021"
"ZA JNB","CDPCitiesTargets:2021:BAU:ZA JNB",2050,48739336.67,"CDPCitiesTargets:2021"
"SI LJU","CDPCitiesTargets:2021:base:SI LJU",2008,850000,"CDPCitiesTargets:2021"
"SI LJU","CDPCitiesTargets:2021:target:SI LJU",2030,595000,"CDPCitiesTargets:2021"
