"name","type","iso","actor_id"
"Hermosillo","City","MEX","MX HMO"
"Can Tho City","City","VNM","VN VCA"
"Mexico City","City","MEX","MX MEX"
"Cardiff","City","GBR","GB CDF"
"Malmö","City","SWE","SE MMA"
"Caruaru","City","BRA","BR CAU"
"Nijmegen","City","NLD","NL NIJ"
"Melbourne","City","AUS","AU MEL"
"Klaipeda","City","LTU","LT KLJ"
"Kochi","City","IND","IN KOC"
"Genoa","City","ITA","IT GOA"
"Gaziantep","City","TUR","TR GZT"
"Mérida","City","MEX","MX MID"
"Tsukuba","City","JPN","JP TSB"
"Cosenza","City","ITA","IT QCS"
"Ibaraki","City","JPN","JP IAK"
"Tainan","City","TWN","TW TNN"
"Tshwane","City","ZAF","ZA PRY"
"Lima","City","PER","PE LIM"
"Sofia","City","BGR","BG SOF"
"Casablanca","City","MAR","MA CAS"
"San Carlos de Bariloche","City","ARG","AR BRC"
"Venado Tuerto","City","ARG","AR VNT"
"Matsuyama","City","JPN","JP MYJ"
"Kinmen","City","TWN","TW KNH"
"Rostock","City","DEU","DE RSK"
"Valdivia","City","CHL","CL ZAL"
"Itabashi","City","JPN","JP ITB"
"Rotterdam","City","NLD","NL RTM"
"Cartagena","City","COL","CO CTG"
"Mendoza","City","ARG","AR MDZ"
"La Marsa","City","TUN","TN L8T"
"Corrientes","City","ARG","AR CNQ"
"Antananarivo","City","MDG","MG TNR"
"Roskilde","City","DNK","DK RKE"
"San Martín de los Andes","City","ARG","AR CPC"
"Kitakyushu","City","JPN","JP KKJ"
"Tbilisi","City","GEO","GE TBS"
"Hokuei","City","JPN","JP HKY"
"Talca","City","CHL","CL TLX"
"Amman","City","JOR","JO AMM"
"Iida","City","JPN","JP IDA"
"Sukabumi","City","IDN","ID SUK"
"Yamato","City","JPN","JP YIH"
"Providencia","City","CHL","CL PRO"
"Sandnes","City","NOR","NO SAS"
"Stockholm","City","SWE","SE STO"
"Myoko","City","JPN","JP MYO"
"Culiacán","City","MEX","MX CUL"
"Kadiköy","City","TUR","TR KAD"
"Buenos Aires","City","ARG","AR BUE"
"Semarang","City","IDN","ID SRG"
"Dhaka","City","BGD","BD DAC"
"Skövde","City","SWE","SE SKV"
"Riga","City","LVA","LV RIX"
"Istanbul","City","TUR","TR IST"
"L'Aquila","City","ITA","IT LAQ"
"Ocú","City","PAN","PA OCU"
"Nilüfer","City","TUR","TR NIL"
"Porto Velho","City","BRA","BR PVH"
"Gibraltar","City","GIB","GI GIB"
"Comas","City","PER","PE COM"
"Muar","City","MYS","MY MUA"
"Suita","City","JPN","JP SUI"
"Addis Ababa","City","ETH","ET ADD"
"Balikpapan","City","IDN","ID BPN"
"New Taipei City","City","TWN","TW NTC"
"Ferrara","City","ITA","IT FRR"
"Southend on Sea Borough","City","GBR","GB SAA"
"Celaya","City","MEX","MX CLY"
"Chiayi","City","TWN","TW CYI"
"Montecarlo","City","ARG","AR MTC"
"Melaka","City","MYS","MY MEA"
"Araçatuba","City","BRA","BR ARU"
"Sorocaba","City","BRA","BR SOR"
"Yokosuka","City","JPN","JP YOS"
"Kamakura","City","JPN","JP AAK"
