"name","iso","entity_type","City.Location","lat","lng"
"Wandsworth","GBR","City",NA,NA,NA
"Gothenburg","SWE","City",NA,NA,NA
"Gothenburg","SWE","City",NA,NA,NA
"Barcelona","ESP","City","POINT (2.1775 41.3823)","41.3823","2.1775"
"Singapore","SGP","City","POINT (103.82 1.35208)","1.35208","103.82"
"Hangzhou","CHN","City",NA,NA,NA
"Bern","CHE","City",NA,NA,NA
"Oreamuno","CRI","City",NA,NA,NA
"Denizli","TUR","City",NA,NA,NA
"Fredensborg","DNK","City","POINT (12.4058 55.9747)","55.9747","12.4058"
"Lubumbashi","COD","City","POINT (-27 11)","11","-27"
"Daegu","KOR","City",NA,NA,NA
"Quito","ECU","City","POINT (-78.5167 -0.2333)","-0.2333","-78.5167"
"Bangkok","THA","City","POINT (100.556 13.7712)","13.7712","100.556"
"Reykjavík","ISL","City","POINT (-21.8174 64.1265)","64.1265","-21.8174"
"Padua","ITA","City","POINT (11.8768 45.4064)","45.4064","11.8768"
"Padua","ITA","City","POINT (11.8768 45.4064)","45.4064","11.8768"
"Monaco","MCO","City","POINT (7.42081 43.7374)","43.7374","7.42081"
"Lucca","ITA","City","POINT (10.6174 43.8399)","43.8399","10.6174"
"Cañas","CRI","City",NA,NA,NA
"Uranga","ARG","City",NA,NA,NA
"Bogor","IDN","City","POINT (106.806 -6.5971)","-6.5971","106.806"
"Gothenburg","SWE","City",NA,NA,NA
"Gothenburg","SWE","City",NA,NA,NA
"Sunderland","GBR","City",NA,NA,NA
"Helsingborg","SWE","City",NA,NA,NA
"Gothenburg","SWE","City",NA,NA,NA
"Gothenburg","SWE","City",NA,NA,NA
"Wandsworth","GBR","City",NA,NA,NA
"Izmir","TUR","City",NA,NA,NA
"Vitoria-Gasteiz","ESP","City","POINT (-2.67 42.84)","42.84","-2.67"
"Yeosu","KOR","City",NA,NA,NA
"Campinas","BRA","City","POINT (-46.9372 -22.744)","-22.744","-46.9372"
"Dar es Salaam","TZA","City","POINT (39.2083 -6.79235)","-6.79235","39.2083"
"Dubai","ARE","City","POINT (55.2708 25.2048)","25.2048","55.2708"
"Lund","SWE","City",NA,NA,NA
"Nice","FRA","City","POINT (7.26195 43.7102)","43.7102","7.26195"
"Portoviejo","ECU","City",NA,NA,NA
"Shizuoka","JPN","City",NA,NA,NA
"Chacabuco","ARG","City",NA,NA,NA
"Bangkok","THA","City","POINT (100.556 13.7712)","13.7712","100.556"
"Rotorua Lakes","NZL","City",NA,NA,NA
"Helsingborg","SWE","City",NA,NA,NA
"Hague","NLD","City","POINT (4.3007 52.0705)","52.0705","4.3007"
"Surat","IND","City",NA,NA,NA
"Zürich","CHE","City","POINT (8.53918 47.3686)","47.3686","8.53918"
"Rajkot","IND","City",NA,NA,NA
"Glasgow","GBR","City","POINT (-4.21278 55.8593)","55.8593","-4.21278"
"Sunderland","GBR","City",NA,NA,NA
"Hwaseong","KOR","City",NA,NA,NA
"Zaragoza","ESP","City","POINT (-0.88701 41.6086)","41.6086","-0.88701"
"Kyoto City","JPN","City",NA,NA,NA
"Zürich","CHE","City","POINT (8.53918 47.3686)","47.3686","8.53918"
"Desamparados","CRI","City",NA,NA,NA
"Rio de Janeiro","BRA","City","POINT (-43.5614 -22.9054)","-22.9054","-43.5614"
"Nice","FRA","City","POINT (7.26195 43.7102)","43.7102","7.26195"
"Curitiba","BRA","City","POINT (-49.2647 -25.4311)","-25.4311","-49.2647"
"San Isidro (Lima)","PER","City","POINT (-77.0273 -12.0977)","-12.0977","-77.0273"
"Reconquista","ARG","City",NA,NA,NA
"Dakar","SEN","City","POINT (-17.366 14.7645)","14.7645","-17.366"
"Belen","CRI","City","POINT (-84.1503 10.0035)","10.0035","-84.1503"
"Bologna","ITA","City","POINT (11.3387 44.4938)","44.4938","11.3387"
"Amsterdam","NLD","City","POINT (4.89516 52.3702)","52.3702","4.89516"
"Hokuto","JPN","City",NA,NA,NA
"Copenhagen","DNK","City","POINT (12.5683 55.6761)","55.6761","12.5683"
"Tegucigalpa","HND","City","POINT (-87.2044 14.1051)","14.1051","-87.2044"
"Umeå","SWE","City","POINT (20.263 63.8258)","63.8258","20.263"
"Turin","ITA","City","POINT (7.668 45.1006)","45.1006","7.668"
"Turin","ITA","City","POINT (7.668 45.1006)","45.1006","7.668"
"Baguio","PHL","City",NA,NA,NA
"San José","CRI","City","POINT (9.9326 -84.0796)","-84.0796","9.9326"
"Monaco","MCO","City","POINT (7.42081 43.7374)","43.7374","7.42081"
"Santiago","CHL","City","POINT (-70.6693 -33.4489)","-33.4489","-70.6693"
"Dunedin","NZL","City",NA,NA,NA
"Toyama","JPN","City",NA,NA,NA
"Puerto Vallarta","MEX","City",NA,NA,NA
"Umeå","SWE","City","POINT (20.263 63.8258)","63.8258","20.263"
"Recife","BRA","City","POINT (-34.8829 -8.05783)","-8.05783","-34.8829"
"Lund","SWE","City",NA,NA,NA
"Kampala","UGA","City",NA,NA,NA
"Curitiba","BRA","City","POINT (-49.2647 -25.4311)","-25.4311","-49.2647"
"Godoy Cruz","ARG","City",NA,NA,NA
"Gothenburg","SWE","City",NA,NA,NA
"Gothenburg","SWE","City",NA,NA,NA
"Quepos","CRI","City",NA,NA,NA
"Dar es Salaam","TZA","City","POINT (39.2083 -6.79235)","-6.79235","39.2083"
"Viseu","PRT","City","POINT (-7.91247 40.6566)","40.6566","-7.91247"
"Blitar","IDN","City",NA,NA,NA
"Nottingham","GBR","City",NA,NA,NA
"Daegu","KOR","City",NA,NA,NA
"Bangkok","THA","City","POINT (100.556 13.7712)","13.7712","100.556"
"Bekasi","IDN","City",NA,NA,NA
"Basel","CHE","City","POINT (7.5928 47.5619)","47.5619","7.5928"
"Tegucigalpa","HND","City","POINT (-87.2044 14.1051)","14.1051","-87.2044"
"Ville De Charleroi","BEL","City","POINT (4.4446 50.4108)","50.4108","4.4446"
"Kristianstad","SWE","City",NA,NA,NA
"Lausanne","CHE","City",NA,NA,NA
"Wroclaw","POL","City","POINT (17.0385 51.1079)","51.1079","17.0385"
"Wroclaw","POL","City","POINT (17.0385 51.1079)","51.1079","17.0385"
"Wroclaw","POL","City","POINT (17.0385 51.1079)","51.1079","17.0385"
"Kaoshiung","TWN","City","POINT (120.344 22.6297)","22.6297","120.344"
"Cocody","CIV","City","POINT (-3.9674 5.3602)","5.3602","-3.9674"
"Aarhus","DNK","City","POINT (10.1374 56.1684)","56.1684","10.1374"
"Himeji","JPN","City",NA,NA,NA
"Temuco","CHL","City",NA,NA,NA
"Yokohama","JPN","City","POINT (139.638 35.4437)","35.4437","139.638"
"Tokyo","JPN","City","POINT (139.41 35.41)","35.41","139.41"
"Dangjin City","KOR","City",NA,NA,NA
"San Isidro (Lima)","PER","City","POINT (-77.0273 -12.0977)","-12.0977","-77.0273"
"Rosario","ARG","City",NA,NA,NA
"Middelfart","DNK","City","POINT (9.87264 55.471)","55.471","9.87264"
"Rosario","ARG","City",NA,NA,NA
"Trelleborg","SWE","City","POINT (13.1569 55.3751)","55.3751","13.1569"
"Fortaleza","BRA","City","POINT (-48.3936 -10.7183)","-10.7183","-48.3936"
"Berlin","DEU","City","POINT (13.405 52.52)","52.52","13.405"
"Sydney","AUS","City","POINT (151.207 -33.8675)","-33.8675","151.207"
"Lagos","NGA","City","POINT (3.3792 6.52437)","6.52437","3.3792"
"Bristol","GBR","City",NA,NA,NA
"Salvador","BRA","City","POINT (-38.5023 -12.973)","-12.973","-38.5023"
"Belo Horizonte","BRA","City","POINT (-43.9345 -19.9167)","-19.9167","-43.9345"
"Baguio","PHL","City",NA,NA,NA
"Daegu","KOR","City",NA,NA,NA
"Porto","PRT","City","POINT (-8.6291 41.1579)","41.1579","-8.6291"
"Sunderland","GBR","City",NA,NA,NA
"Winchester","GBR","City",NA,NA,NA
"Barcelona","ESP","City","POINT (2.1775 41.3823)","41.3823","2.1775"
"Rotorua Lakes","NZL","City",NA,NA,NA
"San Isidro (Lima)","PER","City","POINT (-77.0273 -12.0977)","-12.0977","-77.0273"
"San José","CRI","City","POINT (9.9326 -84.0796)","-84.0796","9.9326"
"Handa","JPN","City",NA,NA,NA
"Podgorica","MNE","City","POINT (19.2594 42.4304)","42.4304","19.2594"
"Linköping","SWE","City","POINT (15.6216 58.4109)","58.4109","15.6216"
"Lausanne","CHE","City",NA,NA,NA
