"emissions_id","tag_id"
"CDPCitiesTargets:2021:target:HR ZAG","target_em"
"CDPCitiesTargets:2021:target:BR REC","target_em"
"CDPCitiesTargets:2021:target:BR RIO","target_em"
"CDPCitiesTargets:2021:base:SE VXO","baseline_em"
"CDPCitiesTargets:2021:target:SE VXO","target_em"
"CDPCitiesTargets:2021:base:JP S67","baseline_em"
"CDPCitiesTargets:2021:target:JP S67","target_em"
"CDPCitiesTargets:2021:base:SE GOT","baseline_em"
"CDPCitiesTargets:2021:target:SE GOT","target_em"
"CDPCitiesTargets:2021:base:SE GOT","baseline_em"
"CDPCitiesTargets:2021:target:SE GOT","target_em"
"CDPCitiesTargets:2021:base:PT OPO","baseline_em"
"CDPCitiesTargets:2021:target:PT OPO","target_em"
"CDPCitiesTargets:2021:base:SE MRA","baseline_em"
"CDPCitiesTargets:2021:target:SE MRA","target_em"
"CDPCitiesTargets:2021:base:KR CHC","baseline_em"
"CDPCitiesTargets:2021:target:KR CHC","target_em"
"CDPCitiesTargets:2021:base:KR CHC","baseline_em"
"CDPCitiesTargets:2021:target:KR CHC","target_em"
"CDPCitiesTargets:2021:base:SI LJU","baseline_em"
"CDPCitiesTargets:2021:target:SI LJU","target_em"
"CDPCitiesTargets:2021:target:DK HVV","target_em"
"CDPCitiesTargets:2021:base:TH YNT","baseline_em"
"CDPCitiesTargets:2021:BAU:TH YNT","BAU"
"CDPCitiesTargets:2021:base:CL IND","baseline_em"
"CDPCitiesTargets:2021:target:CL IND","target_em"
"CDPCitiesTargets:2021:target:CH BRN","target_em"
"CDPCitiesTargets:2021:base:FR PAR","baseline_em"
"CDPCitiesTargets:2021:target:FR PAR","target_em"
"CDPCitiesTargets:2021:base:JP ODW","baseline_em"
"CDPCitiesTargets:2021:target:JP ODW","target_em"
"CDPCitiesTargets:2021:target:BR CAN","target_em"
"CDPCitiesTargets:2021:target:SE VVK","target_em"
"CDPCitiesTargets:2021:target:FR URO","target_em"
"CDPCitiesTargets:2021:base:IT ASI","baseline_em"
"CDPCitiesTargets:2021:target:IT ASI","target_em"
"CDPCitiesTargets:2021:base:NL HAG","baseline_em"
"CDPCitiesTargets:2021:target:NL HAG","target_em"
"CDPCitiesTargets:2021:target:GB WAN","target_em"
"CDPCitiesTargets:2021:base:SE GOT","baseline_em"
"CDPCitiesTargets:2021:base:SE GOT","baseline_em"
"CDPCitiesTargets:2021:base:ES BCN","baseline_em"
"CDPCitiesTargets:2021:target:ES BCN","target_em"
"CDPCitiesTargets:2021:base:CH BRN","baseline_em"
"CDPCitiesTargets:2021:target:CH BRN","target_em"
"CDPCitiesTargets:2021:base:TR DNZ","baseline_em"
"CDPCitiesTargets:2021:BAU:TR DNZ","BAU"
"CDPCitiesTargets:2021:base:DK FRE","baseline_em"
"CDPCitiesTargets:2021:target:DK FRE","target_em"
"CDPCitiesTargets:2021:base:KR TAE","baseline_em"
"CDPCitiesTargets:2021:BAU:KR TAE","BAU"
"CDPCitiesTargets:2021:base:EC UIO","baseline_em"
"CDPCitiesTargets:2021:BAU:EC UIO","BAU"
"CDPCitiesTargets:2021:base:TH BKK","baseline_em"
"CDPCitiesTargets:2021:target:TH BKK","target_em"
"CDPCitiesTargets:2021:base:IS REY","baseline_em"
"CDPCitiesTargets:2021:target:IS REY","target_em"
"CDPCitiesTargets:2021:base:IT PDA","baseline_em"
"CDPCitiesTargets:2021:target:IT PDA","target_em"
"CDPCitiesTargets:2021:base:IT PDA","baseline_em"
"CDPCitiesTargets:2021:target:IT PDA","target_em"
"CDPCitiesTargets:2021:base:MC MON","baseline_em"
"CDPCitiesTargets:2021:target:MC MON","target_em"
"CDPCitiesTargets:2021:base:CR CAS","baseline_em"
"CDPCitiesTargets:2021:target:CR CAS","target_em"
"CDPCitiesTargets:2021:base:ID BOG","baseline_em"
"CDPCitiesTargets:2021:target:ID BOG","target_em"
"CDPCitiesTargets:2021:base:SE GOT","baseline_em"
"CDPCitiesTargets:2021:target:SE GOT","target_em"
"CDPCitiesTargets:2021:base:SE GOT","baseline_em"
"CDPCitiesTargets:2021:target:SE GOT","target_em"
"CDPCitiesTargets:2021:base:GB SUN","baseline_em"
"CDPCitiesTargets:2021:target:GB SUN","target_em"
"CDPCitiesTargets:2021:base:SE HEL","baseline_em"
"CDPCitiesTargets:2021:target:SE HEL","target_em"
"CDPCitiesTargets:2021:target:GB WAN","target_em"
"CDPCitiesTargets:2021:base:TR IZM","baseline_em"
"CDPCitiesTargets:2021:target:TR IZM","target_em"
"CDPCitiesTargets:2021:base:ES VIT","baseline_em"
"CDPCitiesTargets:2021:target:ES VIT","target_em"
"CDPCitiesTargets:2021:base:KR YOS","baseline_em"
"CDPCitiesTargets:2021:target:KR YOS","target_em"
"CDPCitiesTargets:2021:base:BR CPS","baseline_em"
"CDPCitiesTargets:2021:target:BR CPS","target_em"
"CDPCitiesTargets:2021:base:TZ DAR","baseline_em"
"CDPCitiesTargets:2021:target:TZ DAR","target_em"
"CDPCitiesTargets:2021:base:AE DXB","baseline_em"
"CDPCitiesTargets:2021:BAU:AE DXB","BAU"
"CDPCitiesTargets:2021:base:SE LUD","baseline_em"
"CDPCitiesTargets:2021:target:SE LUD","target_em"
"CDPCitiesTargets:2021:base:FR NCE","baseline_em"
"CDPCitiesTargets:2021:target:FR NCE","target_em"
"CDPCitiesTargets:2021:base:EC PVO","baseline_em"
"CDPCitiesTargets:2021:target:EC PVO","target_em"
"CDPCitiesTargets:2021:base:JP SHO","baseline_em"
"CDPCitiesTargets:2021:target:JP SHO","target_em"
"CDPCitiesTargets:2021:base:AR CCO","baseline_em"
"CDPCitiesTargets:2021:BAU:AR CCO","BAU"
"CDPCitiesTargets:2021:base:TH BKK","baseline_em"
"CDPCitiesTargets:2021:target:TH BKK","target_em"
"CDPCitiesTargets:2021:base:NZ ROT","baseline_em"
"CDPCitiesTargets:2021:target:NZ ROT","target_em"
"CDPCitiesTargets:2021:base:SE HEL","baseline_em"
"CDPCitiesTargets:2021:target:SE HEL","target_em"
"CDPCitiesTargets:2021:base:NL HAG","baseline_em"
"CDPCitiesTargets:2021:target:NL HAG","target_em"
"CDPCitiesTargets:2021:base:IN STV","baseline_em"
"CDPCitiesTargets:2021:target:IN STV","target_em"
"CDPCitiesTargets:2021:base:IN RAJ","baseline_em"
"CDPCitiesTargets:2021:target:IN RAJ","target_em"
"CDPCitiesTargets:2021:base:GB GLW","baseline_em"
"CDPCitiesTargets:2021:target:GB GLW","target_em"
"CDPCitiesTargets:2021:base:GB SUN","baseline_em"
"CDPCitiesTargets:2021:target:GB SUN","target_em"
"CDPCitiesTargets:2021:base:ES ZAZ","baseline_em"
"CDPCitiesTargets:2021:target:ES ZAZ","target_em"
"CDPCitiesTargets:2021:base:JP UKY","baseline_em"
"CDPCitiesTargets:2021:target:JP UKY","target_em"
"CDPCitiesTargets:2021:base:CR DE2","baseline_em"
"CDPCitiesTargets:2021:target:CR DE2","target_em"
"CDPCitiesTargets:2021:base:BR RIO","baseline_em"
"CDPCitiesTargets:2021:target:BR RIO","target_em"
"CDPCitiesTargets:2021:base:FR NCE","baseline_em"
"CDPCitiesTargets:2021:target:FR NCE","target_em"
"CDPCitiesTargets:2021:base:BR CWB","baseline_em"
"CDPCitiesTargets:2021:base:PE SDR","baseline_em"
"CDPCitiesTargets:2021:target:PE SDR","target_em"
"CDPCitiesTargets:2021:base:AR RCQ","baseline_em"
"CDPCitiesTargets:2021:BAU:AR RCQ","BAU"
"CDPCitiesTargets:2021:base:SN DKR","baseline_em"
"CDPCitiesTargets:2021:BAU:SN DKR","BAU"
"CDPCitiesTargets:2021:base:CR BLN","baseline_em"
"CDPCitiesTargets:2021:target:CR BLN","target_em"
"CDPCitiesTargets:2021:base:IT BLQ","baseline_em"
"CDPCitiesTargets:2021:target:IT BLQ","target_em"
"CDPCitiesTargets:2021:base:JP HKO","baseline_em"
"CDPCitiesTargets:2021:target:JP HKO","target_em"
"CDPCitiesTargets:2021:target:DK CPH","target_em"
"CDPCitiesTargets:2021:target:HN TGU","target_em"
"CDPCitiesTargets:2021:base:SE UME","baseline_em"
"CDPCitiesTargets:2021:target:SE UME","target_em"
"CDPCitiesTargets:2021:base:IT TRN","baseline_em"
"CDPCitiesTargets:2021:target:IT TRN","target_em"
"CDPCitiesTargets:2021:base:IT TRN","baseline_em"
"CDPCitiesTargets:2021:target:IT TRN","target_em"
"CDPCitiesTargets:2021:base:CR SJO","baseline_em"
"CDPCitiesTargets:2021:target:CR SJO","target_em"
"CDPCitiesTargets:2021:base:MC MON","baseline_em"
"CDPCitiesTargets:2021:target:MC MON","target_em"
"CDPCitiesTargets:2021:target:NZ DUD","target_em"
"CDPCitiesTargets:2021:base:SE UME","baseline_em"
"CDPCitiesTargets:2021:target:SE UME","target_em"
"CDPCitiesTargets:2021:target:BR REC","target_em"
"CDPCitiesTargets:2021:base:SE LUD","baseline_em"
"CDPCitiesTargets:2021:target:SE LUD","target_em"
"CDPCitiesTargets:2021:base:UG KLA","baseline_em"
"CDPCitiesTargets:2021:BAU:UG KLA","BAU"
"CDPCitiesTargets:2021:base:BR CWB","baseline_em"
"CDPCitiesTargets:2021:BAU:BR CWB","BAU"
"CDPCitiesTargets:2021:base:AR GCR","baseline_em"
"CDPCitiesTargets:2021:BAU:AR GCR","BAU"
"CDPCitiesTargets:2021:base:CR QPS","baseline_em"
"CDPCitiesTargets:2021:target:CR QPS","target_em"
"CDPCitiesTargets:2021:base:TZ DAR","baseline_em"
"CDPCitiesTargets:2021:target:TZ DAR","target_em"
"CDPCitiesTargets:2021:base:PT VSE","baseline_em"
"CDPCitiesTargets:2021:target:PT VSE","target_em"
"CDPCitiesTargets:2021:base:ID BTR","baseline_em"
"CDPCitiesTargets:2021:BAU:ID BTR","BAU"
"CDPCitiesTargets:2021:target:GB NTG","target_em"
"CDPCitiesTargets:2021:base:KR TAE","baseline_em"
"CDPCitiesTargets:2021:BAU:KR TAE","BAU"
"CDPCitiesTargets:2021:base:TH BKK","baseline_em"
"CDPCitiesTargets:2021:target:TH BKK","target_em"
"CDPCitiesTargets:2021:target:CH BSL","target_em"
"CDPCitiesTargets:2021:target:HN TGU","target_em"
"CDPCitiesTargets:2021:base:BE CRL","baseline_em"
"CDPCitiesTargets:2021:target:BE CRL","target_em"
"CDPCitiesTargets:2021:base:SE KID","baseline_em"
"CDPCitiesTargets:2021:target:SE KID","target_em"
"CDPCitiesTargets:2021:target:CH LAU","target_em"
"CDPCitiesTargets:2021:base:PL WRO","baseline_em"
"CDPCitiesTargets:2021:target:PL WRO","target_em"
"CDPCitiesTargets:2021:base:PL WRO","baseline_em"
"CDPCitiesTargets:2021:target:PL WRO","target_em"
"CDPCitiesTargets:2021:base:PL WRO","baseline_em"
"CDPCitiesTargets:2021:target:PL WRO","target_em"
"CDPCitiesTargets:2021:base:TW KHH","baseline_em"
"CDPCitiesTargets:2021:target:TW KHH","target_em"
"CDPCitiesTargets:2021:base:CI COD","baseline_em"
"CDPCitiesTargets:2021:target:CI COD","target_em"
"CDPCitiesTargets:2021:base:JP HIM","baseline_em"
"CDPCitiesTargets:2021:target:JP HIM","target_em"
"CDPCitiesTargets:2021:base:JP YOK","baseline_em"
"CDPCitiesTargets:2021:target:JP YOK","target_em"
"CDPCitiesTargets:2021:base:JP TYO","baseline_em"
"CDPCitiesTargets:2021:target:JP TYO","target_em"
"CDPCitiesTargets:2021:base:KR TJI","baseline_em"
"CDPCitiesTargets:2021:target:KR TJI","target_em"
"CDPCitiesTargets:2021:base:PE SDR","baseline_em"
"CDPCitiesTargets:2021:target:PE SDR","target_em"
"CDPCitiesTargets:2021:base:AR ROS","baseline_em"
"CDPCitiesTargets:2021:BAU:AR ROS","BAU"
