"identifier","actor_id","namespace"
50357,"AR MDZ","CDP"
831230,"TN L8T","CDP"
834219,"AR CNQ","CDP"
36223,"MG TNR","CDP"
73879,"DK RKE","CDP"
834403,"AR CPC","CDP"
44080,"JP KKJ","CDP"
50211,"GE TBS","CDP"
859154,"JP HKY","CDP"
60408,"CL TLX","CDP"
54337,"JO AMM","CDP"
55161,"JP IDA","CDP"
73757,"ID SUK","CDP"
859097,"JP YIH","CDP"
59167,"CL PRO","CDP"
74695,"NO SAS","CDP"
3429,"SE STO","CDP"
859104,"JP MYO","CDP"
50367,"MX CUL","CDP"
74671,"TR KAD","CDP"
31155,"AR BUE","CDP"
54327,"ID SRG","CDP"
50782,"BD DAC","CDP"
840425,"SE SKV","CDP"
36426,"LV RIX","CDP"
31163,"TR IST","CDP"
36469,"IT LAQ","CDP"
848128,"PA OCU","CDP"
74672,"TR NIL","CDP"
60318,"BR PVH","CDP"
50650,"GI GIB","CDP"
69850,"PE COM","CDP"
841491,"MY MUA","CDP"
834352,"JP SUI","CDP"
31146,"ET ADD","CDP"
54349,"ID BPN","CDP"
56276,"TW NTC","CDP"
36286,"IT FRR","CDP"
17411,"GB SAA","CDP"
839665,"MX CLY","CDP"
58564,"TW CYI","CDP"
841269,"AR MTC","CDP"
54367,"MY MEA","CDP"
54681,"BR ARU","CDP"
50383,"BR SOR","CDP"
834402,"JP YOS","CDP"
859096,"JP AAK","CDP"
