actor_id,area,lat,lng,datasource_id
TD,1259200,121100,150500,WORLD_BANK:LandArea:v20220916
TG,54390,61319,12228,WORLD_BANK:LandArea:v20220916
TH,510890,137500,1005167,WORLD_BANK:LandArea:v20220916
TJ,138790,385730,687864,WORLD_BANK:LandArea:v20220916
TL,14870,-85536,1255783,WORLD_BANK:LandArea:v20220916
TM,469930,379500,583833,WORLD_BANK:LandArea:v20220916
TN,155360,368008,101800,WORLD_BANK:LandArea:v20220916
TO,720,-211347,-1752083,WORLD_BANK:LandArea:v20220916
TR,769630,399300,328500,WORLD_BANK:LandArea:v20220916
TT,5130,106667,-615167,WORLD_BANK:LandArea:v20220916
TV,30,-85243,1791942,WORLD_BANK:LandArea:v20220916
TZ,885800,-68000,392832,WORLD_BANK:LandArea:v20220916
TZ,885800,-61835,357460,WORLD_BANK:LandArea:v20220916
UA,579400,504500,305236,WORLD_BANK:LandArea:v20220916
UG,200520,3136,325811,WORLD_BANK:LandArea:v20220916
US,9147420,389047,-770163,WORLD_BANK:LandArea:v20220916
UY,175020,-348667,-561667,WORLD_BANK:LandArea:v20220916
UZ,440650,413000,692667,WORLD_BANK:LandArea:v20220916
VC,390,131667,-612333,WORLD_BANK:LandArea:v20220916
VE,882050,105000,-669333,WORLD_BANK:LandArea:v20220916
VG,150,184167,-646167,WORLD_BANK:LandArea:v20220916
VI,350,183419,-649332,WORLD_BANK:LandArea:v20220916
VN,313429,210245,1058412,WORLD_BANK:LandArea:v20220916
VU,12190,-177333,1683167,WORLD_BANK:LandArea:v20220916
WS,2780,-138333,-1718333,WORLD_BANK:LandArea:v20220916
YE,527970,153500,442000,WORLD_BANK:LandArea:v20220916
ZA,1213090,-257464,281881,WORLD_BANK:LandArea:v20220916
ZA,1213090,-339250,184250,WORLD_BANK:LandArea:v20220916
ZA,1213090,-291000,262167,WORLD_BANK:LandArea:v20220916
ZM,743390,-154167,282833,WORLD_BANK:LandArea:v20220916
ZW,386850,-178292,310522,WORLD_BANK:LandArea:v20220916
